"Min,Max,Modal Price from Karnataka[Bajra(Pearl Millet/Cumbu)] from 01-Jan-2012To31-Dec-2012 (Total-2438) (Total-2438)",,,,,,,,,
Sl no.,``````,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1025,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1052,1052,1052,17-Jan-12
1325,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,965,1148,1053,17-Jan-12
1417,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1000,1100,1050,17-Jan-12
1653,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1020,1090,1082,17-Jan-12
2088,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,990,1006,995,17-Jan-12
2350,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,1240,1045,17-Jan-12
257,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1011,1036,1035,18-Jan-12
589,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,930,1200,1050,18-Jan-12
1024,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1050,1025,18-Jan-12
1057,Gulbarga,Chittapur,Bajra(Pearl Millet/Cumbu),Jawari,FAQ,3500,3501,3500,18-Jan-12
1324,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,952,1126,1026,18-Jan-12
1491,Bidar,Humanabad,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1005,1005,1005,18-Jan-12
1651,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1071,1071,1071,18-Jan-12
1652,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1071,1071,1071,18-Jan-12
1944,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1017,1052,1052,18-Jan-12
2087,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,1015,1000,18-Jan-12
2349,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,1150,1000,18-Jan-12
2391,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1300,1300,1300,18-Jan-12
256,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1001,1001,1001,19-Jan-12
588,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,930,1220,1100,19-Jan-12
1323,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,952,1151,1055,19-Jan-12
1619,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1033,1050,1044,19-Jan-12
1650,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1061,1061,1061,19-Jan-12
1943,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,989,989,989,19-Jan-12
2086,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,990,1005,1000,19-Jan-12
2348,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,885,1310,1095,19-Jan-12
255,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,981,992,992,20-Jan-12
587,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,940,1350,1150,20-Jan-12
801,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1100,1190,1130,20-Jan-12
817,Bidar,Bidar,Bajra(Pearl Millet/Cumbu),Local,FAQ,975,975,975,20-Jan-12
1023,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1000,1050,1025,20-Jan-12
1322,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1005,1201,1075,20-Jan-12
1942,Raichur,Raichur,Bajra(Pearl Millet/Cumbu),Local,FAQ,1053,1053,1053,20-Jan-12
2347,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,830,1360,1095,20-Jan-12
2363,Bijapur,Sindagi,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,950,1000,1000,20-Jan-12
2433,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1001,900,20-Jan-12
254,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1001,1011,1001,21-Jan-12
386,Bangalore,Bangalore,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1070,1380,1250,21-Jan-12
586,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,930,1350,1150,21-Jan-12
800,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1141,1141,1141,21-Jan-12
1321,Gulbarga,Gulbarga,Bajra(Pearl Millet/Cumbu),Local,FAQ,1025,1210,1125,21-Jan-12
1649,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1060,1060,1060,21-Jan-12
2085,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,986,1002,995,21-Jan-12
2346,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,850,1380,1115,21-Jan-12
2390,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1129,1129,1129,21-Jan-12
2432,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,950,980,950,21-Jan-12
1416,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1000,1000,1000,22-Jan-12
2018,Belgaum,Ramdurga,Bajra(Pearl Millet/Cumbu),Local,FAQ,900,1000,950,22-Jan-12
138,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,975,985,985,23-Jan-12
139,Bagalkot,Badami,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,975,985,985,23-Jan-12
1022,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1100,1075,23-Jan-12
1618,Koppal,Koppal,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1040,1090,1060,23-Jan-12
1648,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1063,1063,1063,23-Jan-12
2345,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,875,1350,1110,23-Jan-12
2389,Raichur,Sindhanur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1183,1183,1183,23-Jan-12
253,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1005,1032,1031,24-Jan-12
799,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1068,1170,1073,24-Jan-12
1021,Bijapur,Bijapur,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1050,1100,1075,24-Jan-12
1415,Bellary,H.B. Halli,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1000,1000,1000,24-Jan-12
1647,Bellary,Kottur,Bajra(Pearl Millet/Cumbu),Hybrid,Medium,1064,1064,1064,24-Jan-12
2084,Gadag,Rona,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,960,1005,995,24-Jan-12
2344,Karwar(Uttar Kannad),Siddapur,Bajra(Pearl Millet/Cumbu),Other,FAQ,900,1310,1105,24-Jan-12
2431,Bijapur,Talikot,Bajra(Pearl Millet/Cumbu),Other,FAQ,800,951,850,24-Jan-12
252,Bagalkot,Bagalakot,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1001,1036,1002,25-Jan-12
585,Bidar,Basava Kalayana,Bajra(Pearl Millet/Cumbu),Local,FAQ,950,1200,1000,25-Jan-12
798,Bellary,Bellary,Bajra(Pearl Millet/Cumbu),Hybrid,FAQ,1002,1012,1012,25-Jan-12
816,Bidar,Bidar,Bajra(Pearl Millet/Cumbu),Local,FAQ,1001,1001,1001,25-Jan-12
