"Min,Max,Modal Price from Karnataka[Rice] from 01-Jan-2013To31-Dec-2013 (Total-5194) (Total-5194)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
208,Bangalore,Bangalore,Rice,Dappa,FAQ,1600,2000,1900,18-May-13
209,Bangalore,Bangalore,Rice,Fine,FAQ,3800,5100,4100,18-May-13
657,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1480,1820,1580,18-May-13
658,Kolar,Bangarpet,Rice,Sona Fine,FAQ,3580,3850,3640,18-May-13
952,Mangalore(Dakshin Kannad),Belthangdi,Rice,Kachha Basmati,FAQ,2200,2900,2600,18-May-13
1186,Bidar,Bidar,Rice,CR 1009 (Coarse) Boiled,FAQ,3600,4800,4415,18-May-13
1187,Bidar,Bidar,Rice,Broken Rice,FAQ,2200,2800,2500,18-May-13
1618,Kolar,Chintamani,Rice,Hansa,FAQ,2150,2600,2500,18-May-13
1619,Kolar,Chintamani,Rice,Broken Rice,FAQ,1700,2000,1850,18-May-13
1620,Kolar,Chintamani,Rice,Sona,FAQ,3800,4950,4650,18-May-13
1998,Koppal,Gangavathi,Rice,Other,FAQ,2701,2701,2701,18-May-13
2167,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,2000,2650,2400,18-May-13
2168,Gulbarga,Gulbarga,Rice,Fine,FAQ,2700,4000,3750,18-May-13
2467,Haveri,Haveri,Rice,Coarse,Medium,1650,1750,1700,18-May-13
2854,Mysore,K.R.Nagar,Rice,Coarse,Medium,1633,1633,1633,18-May-13
3387,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,3270,3280,3275,18-May-13
3388,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2500,2550,2530,18-May-13
3389,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,3100,3150,3120,18-May-13
4478,Shimoga,Shimoga,Rice,Medium,FAQ,2400,3200,2800,18-May-13
4479,Shimoga,Shimoga,Rice,Fine,FAQ,3200,4200,4100,18-May-13
4480,Shimoga,Shimoga,Rice,Coarse,FAQ,2200,2400,2300,18-May-13
5012,Shimoga,Thirthahalli,Rice,Broken Rice,FAQ,1700,1900,1800,18-May-13
5087,Udupi,Udupi,Rice,Kachha Basmati,FAQ,2300,3950,3200,18-May-13
1615,Kolar,Chintamani,Rice,Sona,FAQ,3800,4900,4650,19-May-13
1616,Kolar,Chintamani,Rice,Broken Rice,FAQ,1700,2000,1900,19-May-13
1617,Kolar,Chintamani,Rice,Hansa,FAQ,2150,2600,2500,19-May-13
3018,Chikmagalur,Koppa,Rice,Jaya,FAQ,1800,2010,2000,19-May-13
204,Bangalore,Bangalore,Rice,Fine,FAQ,3800,5100,4100,20-May-13
205,Bangalore,Bangalore,Rice,Dappa,FAQ,1600,2000,1900,20-May-13
206,Bangalore,Bangalore,Rice,Medium,FAQ,3600,3800,3700,20-May-13
655,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1460,1820,1620,20-May-13
656,Kolar,Bangarpet,Rice,Sarbati Raw,FAQ,2450,2680,2560,20-May-13
951,Mangalore(Dakshin Kannad),Belthangdi,Rice,Kachha Basmati,FAQ,2200,2800,2500,20-May-13
1184,Bidar,Bidar,Rice,Broken Rice,FAQ,2300,2800,2650,20-May-13
1185,Bidar,Bidar,Rice,CR 1009 (Coarse) Boiled,FAQ,3300,4800,4400,20-May-13
1612,Kolar,Chintamani,Rice,Hansa,FAQ,2100,2500,2400,20-May-13
1613,Kolar,Chintamani,Rice,Broken Rice,FAQ,3750,4850,4600,20-May-13
1614,Kolar,Chintamani,Rice,Sona,FAQ,3750,4850,4600,20-May-13
1997,Koppal,Gangavathi,Rice,Other,FAQ,1910,2020,1975,20-May-13
2022,Madikeri(Kodagu),Gonikappal,Rice,Coarse,FAQ,2800,2800,2800,20-May-13
2529,Hassan,Holenarsipura,Rice,Broken Rice,FAQ,1000,1000,1000,20-May-13
2530,Hassan,Holenarsipura,Rice,Coarse,FAQ,1800,1800,1800,20-May-13
2918,Bangalore,Kanakapura,Rice,Medium,FAQ,4433,4433,4433,20-May-13
3384,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,3100,3150,3120,20-May-13
3385,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2500,2550,2530,20-May-13
3386,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,3270,3280,3275,20-May-13
4475,Shimoga,Shimoga,Rice,Coarse,FAQ,2150,2350,2250,20-May-13
4476,Shimoga,Shimoga,Rice,Fine,FAQ,3250,4250,4150,20-May-13
4477,Shimoga,Shimoga,Rice,Medium,FAQ,2350,3250,2800,20-May-13
4875,Raichur,Sindhanur,Rice,Sarbati Raw,Medium,1750,1750,1750,20-May-13
4960,Mandya,Srirangapattana,Rice,Dappa,Small,2000,2000,2000,20-May-13
5086,Udupi,Udupi,Rice,Kachha Basmati,FAQ,2300,3950,3200,20-May-13
201,Bangalore,Bangalore,Rice,Medium,FAQ,3600,3800,3700,21-May-13
202,Bangalore,Bangalore,Rice,Dappa,FAQ,1600,2000,1900,21-May-13
203,Bangalore,Bangalore,Rice,Fine,FAQ,3800,5100,4100,21-May-13
653,Kolar,Bangarpet,Rice,Sarbati Raw,FAQ,2450,2680,2560,21-May-13
654,Kolar,Bangarpet,Rice,Broken Rice,FAQ,1460,1820,1620,21-May-13
950,Mangalore(Dakshin Kannad),Belthangdi,Rice,Kachha Basmati,FAQ,2200,2800,2500,21-May-13
1182,Bidar,Bidar,Rice,CR 1009 (Coarse) Boiled,FAQ,3200,4800,4350,21-May-13
1183,Bidar,Bidar,Rice,Broken Rice,FAQ,2100,2700,2500,21-May-13
1609,Kolar,Chintamani,Rice,Sona,FAQ,3800,4950,4800,21-May-13
1610,Kolar,Chintamani,Rice,Broken Rice,FAQ,1650,2000,1850,21-May-13
1611,Kolar,Chintamani,Rice,Hansa,FAQ,2150,2600,2500,21-May-13
2165,Gulbarga,Gulbarga,Rice,Fine,FAQ,2600,4200,3850,21-May-13
2166,Gulbarga,Gulbarga,Rice,Broken Rice,FAQ,2000,2600,2450,21-May-13
2853,Mysore,K.R.Nagar,Rice,Coarse,Medium,1800,2000,1846,21-May-13
3160,Kolar,Malur,Rice,Sona,FAQ,2900,3300,3000,21-May-13
3381,Mangalore(Dakshin Kannad),Mangalore,Rice,Fine,FAQ,3270,3280,3275,21-May-13
3382,Mangalore(Dakshin Kannad),Mangalore,Rice,Kattasambar,FAQ,2500,2550,2530,21-May-13
3383,Mangalore(Dakshin Kannad),Mangalore,Rice,IR-8,FAQ,3100,3150,3120,21-May-13
3937,Mysore,Mysore (Bandipalya),Rice,Broken Rice,FAQ,1800,2000,1900,21-May-13
3938,Mysore,Mysore (Bandipalya),Rice,Coarse,FAQ,2200,2500,2300,21-May-13
4119,Mysore,Nanjangud,Rice,Kachha Basmati,FAQ,2335,2340,2335,21-May-13
4130,Belgaum,Nippani,Rice,IR 50,FAQ,2433,2433,2433,21-May-13
4472,Shimoga,Shimoga,Rice,Medium,FAQ,2400,3250,2825,21-May-13
4473,Shimoga,Shimoga,Rice,Fine,FAQ,3250,4250,4150,21-May-13
4474,Shimoga,Shimoga,Rice,Coarse,FAQ,2200,2400,2300,21-May-13
4874,Raichur,Sindhanur,Rice,Sarbati Raw,Medium,1750,1750,1750,21-May-13
