"Min,Max,Modal Price from Karnataka[Green Gram (Moong)(Whole)] from 01-Jan-2008To31-Dec-2008 (Total-2161) (Total-2161)",,,,,,,,,
Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1002,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2263,3611,3510,22-Aug-08
1853,Gadag,Rona,Green Gram (Moong)(Whole),Green (Whole),FAQ,3082,3610,3510,22-Aug-08
1772,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,1373,2640,2233,23-Aug-08
1483,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1809,3449,2709,23-Aug-08
2008,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,3000,3200,3100,23-Aug-08
1311,Bagalkot,Hungund,Green Gram (Moong)(Whole),Green (Whole),FAQ,3400,3400,3400,23-Aug-08
1852,Gadag,Rona,Green Gram (Moong)(Whole),Green (Whole),FAQ,3100,3440,3410,23-Aug-08
105,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,2000,3901,3455,23-Aug-08
259,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3800,3500,23-Aug-08
1001,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2211,3809,3700,23-Aug-08
596,Shimoga,Bhadravathi,Green Gram (Moong)(Whole),Green (Whole),FAQ,3500,4200,3850,23-Aug-08
685,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1635,2921,2490,25-Aug-08
1959,Gulbarga,Sedam,Green Gram (Moong)(Whole),Green (Whole),FAQ,2651,2775,2750,25-Aug-08
1663,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,2800,3200,3000,25-Aug-08
874,Gulbarga,Chittapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2500,3200,3200,25-Aug-08
1985,Gulbarga,Shahapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,3152,3349,3252,25-Aug-08
2094,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,2349,3755,3549,25-Aug-08
896,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2550,2550,2550,26-Aug-08
488,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,2581,2880,2581,26-Aug-08
684,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1705,3065,2699,26-Aug-08
1958,Gulbarga,Sedam,Green Gram (Moong)(Whole),Green (Whole),FAQ,2675,2900,2725,26-Aug-08
1482,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1680,3529,2887,26-Aug-08
1352,Koppal,Koppal,Green Gram (Moong)(Whole),Green (Whole),FAQ,3100,3100,3100,26-Aug-08
2007,Shimoga,Shimoga,Green Gram (Moong)(Whole),Green (Whole),FAQ,3000,3200,3100,26-Aug-08
1851,Gadag,Rona,Green Gram (Moong)(Whole),Green (Whole),FAQ,2900,3385,3280,26-Aug-08
258,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3800,3500,26-Aug-08
1000,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2331,3632,3540,26-Aug-08
104,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,2800,3815,3550,26-Aug-08
1662,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,3600,3900,3800,26-Aug-08
487,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,2100,2200,2150,27-Aug-08
1917,Haveri,Savanur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2201,2201,2201,27-Aug-08
1771,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2061,2449,2449,27-Aug-08
1957,Gulbarga,Sedam,Green Gram (Moong)(Whole),Green (Whole),FAQ,2551,2875,2675,27-Aug-08
683,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1901,3075,2701,27-Aug-08
1481,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1839,3457,2715,27-Aug-08
1616,Gadag,Mundaragi,Green Gram (Moong)(Whole),Green (Whole),FAQ,1455,3503,2805,27-Aug-08
873,Gulbarga,Chittapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2600,3200,3100,27-Aug-08
1850,Gadag,Rona,Green Gram (Moong)(Whole),Green (Whole),FAQ,3250,3360,3310,27-Aug-08
2093,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,2391,3696,3429,27-Aug-08
257,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3800,3500,27-Aug-08
1661,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3800,3500,27-Aug-08
103,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,2211,3840,3531,27-Aug-08
595,Shimoga,Bhadravathi,Green Gram (Moong)(Whole),Green (Whole),FAQ,3500,4200,3850,27-Aug-08
835,Chikmagalur,Chikkamagalore,Green Gram (Moong)(Whole),Other,FAQ,1750,2250,2000,28-Aug-08
1770,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2251,2459,2369,28-Aug-08
486,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,2400,2400,2400,28-Aug-08
1956,Gulbarga,Sedam,Green Gram (Moong)(Whole),Green (Whole),FAQ,2600,3000,2711,28-Aug-08
1383,Bellary,Kottur,Green Gram (Moong)(Whole),Green (Whole),Medium,2168,3232,2765,28-Aug-08
895,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2800,2800,2800,28-Aug-08
682,Bidar,Bidar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2100,3096,2801,28-Aug-08
1480,Gadag,Laxmeshwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,1769,3428,2808,28-Aug-08
1984,Gulbarga,Shahapur,Green Gram (Moong)(Whole),Green (Whole),FAQ,3059,3409,3229,28-Aug-08
1849,Gadag,Rona,Green Gram (Moong)(Whole),Green (Whole),FAQ,3080,3410,3380,28-Aug-08
2092,Gulbarga,Yadgir,Green Gram (Moong)(Whole),Green (Whole),FAQ,2219,3692,3459,28-Aug-08
256,Bangalore,Bangalore,Green Gram (Moong)(Whole),Green (Whole),FAQ,3200,3800,3500,28-Aug-08
102,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,2000,3852,3502,28-Aug-08
999,Gadag,Gadag,Green Gram (Moong)(Whole),Green (Whole),FAQ,2251,3719,3620,28-Aug-08
1660,Mysore,Mysore (Bandipalya),Green Gram (Moong)(Whole),Green (Whole),FAQ,3600,3800,3700,28-Aug-08
101,Bagalkot,Bagalakot,Green Gram (Moong)(Whole),Green (Whole),FAQ,2001,3879,2001,29-Aug-08
485,Bidar,Basava Kalayana,Green Gram (Moong)(Whole),Green (Whole),FAQ,2200,2840,2200,29-Aug-08
1769,Raichur,Raichur,Green Gram (Moong)(Whole),Green (Whole),FAQ,2089,2309,2309,29-Aug-08
894,Dharwad,Dharwar,Green Gram (Moong)(Whole),Green (Whole),FAQ,2450,2450,2450,29-Aug-08
