Sl no.,District Name,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
4444,Jalgaon,4715,5390,5000
4445,Jalgaon,3991,5150,4500
4446,Jalgaon,4460,5000,4800
4447,Jalgaon,3810,5290,4500
4448,Jalgaon,3800,5000,4500
4449,Jalgaon,3400,5300,4400
4450,Jalgaon,4000,4891,4500
4451,Jalgaon,4530,4960,4701
4452,Jalgaon,4560,4955,4721
4453,Jalgaon,3960,5400,4500
4454,Jalgaon,4444,5150,4821
4455,Jalgaon,4500,5411,4821
4456,Jalgaon,4250,5300,4800
4457,Jalgaon,4300,6000,5300
4458,Jalgaon,4450,5190,4751
4459,Jalgaon,4241,5330,4821
4460,Jalgaon,4500,5400,5000
4461,Jalgaon,4200,5360,4651
4462,Jalgaon,4350,5341,4751
4463,Jalgaon,4485,5201,4821
4464,Jalgaon,4930,5210,5121
4465,Jalgaon,5100,5351,5200
4466,Jalgaon,5000,5351,5100
4467,Jalgaon,3200,5000,4000
4468,Jalgaon,5590,5941,5761
4469,Jalgaon,3900,4100,4000
4470,Jalgaon,4600,4700,4651
4471,Jalgaon,4351,4351,4351
4472,Jalgaon,4650,4750,4721
4473,Jalgaon,4000,4400,4200
4474,Jalgaon,3740,4900,4300
4475,Jalgaon,4000,4400,4200
4476,Jalgaon,3600,4500,4000
4477,Jalgaon,4600,5000,4800
4478,Jalgaon,4000,5000,4500
4479,Jalgaon,4900,5100,5000
4480,Jalgaon,4800,5200,5001
4481,Jalgaon,4250,5000,4800
4482,Jalgaon,5000,5200,5100
4483,Aurangabad,3401,5522,5252
4484,Aurangabad,5292,5600,5292
4485,Aurangabad,3951,5642,4600
4486,Beed,4900,4900,4900
4487,Beed,4800,5051,4925
4488,Beed,4000,4500,4250
4489,Beed,4500,5100,4800
4490,Beed,4800,4800,4800
4491,Beed,3500,5200,4350
4492,Beed,5000,5150,5075
4493,Beed,4500,5100,4800
4494,Beed,4100,5200,4550
4495,Beed,4600,4800,4700
4496,Beed,5000,5000,5000
4497,Beed,4500,5000,4750
4498,Beed,3500,5251,4375
4499,Beed,4200,5200,4700
4500,Beed,4005,4711,4300
4501,Beed,4300,5061,4680
4502,Beed,4200,4800,4600
4503,Beed,4201,5100,4650
4504,Beed,3700,5100,4400
4505,Beed,4200,5200,4700
4506,Beed,4011,5000,4505
4507,Beed,4150,4900,4525
4508,Beed,3700,4800,4250
4509,Beed,4500,5000,4750
4510,Beed,4500,5000,4750
4511,Beed,4200,5000,4600
4512,Beed,4100,5050,4575
4513,Beed,4100,4611,4355
4514,Beed,4000,4900,4450
4515,Beed,4000,4800,4400
4516,Beed,4201,4700,4450
4517,Beed,3411,4811,4111
4518,Beed,4000,4900,4450
4519,Beed,4000,4800,4400
4520,Beed,4000,4611,4600
4521,Beed,4200,4700,4500
4522,Beed,4300,4900,4800
4523,Beed,4200,4800,4600
4524,Beed,4300,4800,4600
4525,Beed,4200,4800,4600
4526,Beed,4200,4900,4800
4527,Beed,4150,4925,4800
4528,Beed,4321,4800,4700
4529,Beed,4250,4800,4650
4530,Beed,4200,5025,4800
4531,Beed,4000,5051,4800
4532,Beed,3360,3451,3400
4533,Beed,3750,5051,4850
4534,Beed,4100,5151,4800
4535,Beed,4200,5100,4800
4536,Beed,4200,5100,4800
4537,Beed,3100,5151,5000
4538,Beed,4100,5046,4800
4539,Beed,4300,5000,4901
4540,Beed,3100,5151,5000
4541,Beed,4250,4900,4780
4542,Beed,4400,5051,4800
4543,Beed,4800,5200,5001
4544,Beed,4700,5251,5075
4545,Beed,5100,5312,5210
4546,Beed,5111,5311,5200
4547,Beed,5111,5421,5300
4548,Beed,4000,4000,4000
4549,Beed,3900,4251,4075
4550,Beed,3201,4200,3700
4551,Beed,4100,4750,4425
4552,Parbhani,4461,4461,4461
4553,Parbhani,3990,4500,4400
4554,Parbhani,4480,4480,4480
4555,Parbhani,4290,4290,4290
4556,Parbhani,4677,5311,5311
4557,Parbhani,5311,5311,5311
4558,Parbhani,4550,4550,4550
4559,Parbhani,3701,5451,4550
4560,Parbhani,4250,4750,4750
4561,Parbhani,4290,4695,4549
4562,Parbhani,3850,4700,4700
4563,Parbhani,4300,4300,4300
4564,Parbhani,4501,5331,4651
4565,Parbhani,4250,4500,4460
4566,Parbhani,4411,4600,4600
4567,Parbhani,4000,4700,4200
4568,Parbhani,4000,4800,4451
4569,Parbhani,4000,4800,4250
4570,Parbhani,3700,3700,3700
4571,Parbhani,3812,4451,4000
4572,Parbhani,3940,4949,4302
4573,Parbhani,4451,4451,4451
4574,Parbhani,3701,4801,4350
4575,Parbhani,4151,4300,4250
4576,Parbhani,3890,4500,4350
4577,Parbhani,3890,4161,4100
4578,Parbhani,4000,4301,4251
4579,Parbhani,4011,4371,4177
4580,Parbhani,4000,4425,4250
4581,Parbhani,4275,4640,4440
4582,Parbhani,4500,4576,4500
4583,Parbhani,3951,4775,4411
4584,Parbhani,3600,4750,3950
4585,Jalgaon,4200,5500,4625
4586,Jalgaon,3851,5325,4700
4587,Jalgaon,4160,5200,5052
4588,Jalgaon,3900,3900,3900
4589,Jalgaon,3737,4001,4001
4590,Jalgaon,3301,4500,4001
4591,Jalgaon,2101,4700,4700
4592,Jalgaon,2628,4600,2628
4593,Jalgaon,2525,4901,4501
4594,Jalgaon,2400,5051,5051
4595,Jalana,4150,4701,4701
4596,Jalana,4461,4700,4700
4597,Jalana,4491,4875,4601
4598,Jalana,4325,5000,4600
4599,Jalana,4300,4581,4330
4600,Jalana,4350,4772,4500
4601,Jalana,4500,4800,4651
4602,Jalana,4350,4600,4400
4603,Jalana,4201,4600,4400
4604,Jalana,4251,5400,4500
4605,Jalana,4050,4300,4251
4606,Jalana,4380,4681,4500
4607,Jalana,4360,4501,4500
4608,Jalana,4300,4600,4453
4609,Jalana,4325,4691,4451
4610,Jalana,4400,4600,4500
4611,Jalana,4300,4676,4600
4612,Jalana,4400,4700,4535
4613,Jalana,4326,4825,4625
4614,Jalana,4344,4700,4401
4615,Jalana,3950,4625,4376
4616,Jalana,4251,4551,4551
4617,Jalana,4511,4861,4600
4618,Jalana,4200,4600,4451
4619,Jalana,4100,4425,4300
4620,Jalana,4050,4300,4201
4621,Jalana,4051,4525,4300
4622,Jalana,4051,4400,4300
4623,Jalana,4250,4551,4300
4624,Jalana,4081,4725,4200
4625,Jalana,4150,4550,4310
4626,Jalana,4000,4500,4100
4627,Jalana,4076,4655,4200
4628,Jalana,4200,4500,4300
4629,Jalana,4150,4500,4300
4630,Jalana,4150,4625,4340
4631,Jalana,4240,4575,4400
4632,Jalana,4240,4711,4331
4633,Jalana,4115,4800,4321
4634,Jalana,4151,4665,4426
4635,Jalana,4200,4760,4300
4636,Jalana,4261,4600,4300
4637,Jalana,4300,4751,4400
4638,Jalana,4150,4600,4331
4639,Jalana,4151,4400,4326
4640,Jalana,4000,4455,4326
4641,Jalana,4326,4886,4526
4642,Jalana,4151,4400,4351
4643,Jalana,4325,4651,4601
4644,Jalana,4000,4410,4200
4645,Jalana,4211,4461,4351
4646,Jalana,4300,4600,4400
4647,Jalana,4100,4550,4370
4648,Jalana,4250,4460,4350
4649,Jalana,4200,4726,4476
4650,Jalana,4300,4700,4451
4651,Jalana,4076,4500,4351
4652,Jalana,4230,4700,4450
4653,Jalana,4251,4701,4450
4654,Jalana,4071,4451,4241
4655,Jalana,4240,4550,4370
4656,Jalana,3950,4551,4200
4657,Jalana,4250,4475,4300
4658,Jalana,4171,4400,4200
4659,Ahmednagar,4800,5100,5000
4660,Ahmednagar,5000,6975,6000
4661,Ahmednagar,4800,5000,4900
4662,Parbhani,4001,4551,4280
4663,Parbhani,3700,4801,4600
4664,Parbhani,4300,4600,4300
4665,Parbhani,4101,4600,4301
4666,Parbhani,3825,4782,4300
4667,Parbhani,3500,4876,4000
4668,Parbhani,4000,5000,4700
4669,Parbhani,3500,5150,4450
4670,Parbhani,3790,5401,4500
4671,Parbhani,4000,5051,4300
4672,Parbhani,4300,5000,4900
4673,Parbhani,4500,5200,4701
4674,Parbhani,3500,5351,4611
4675,Parbhani,3900,5100,4300
4676,Parbhani,4000,4951,4200
4677,Parbhani,4400,5400,5200
4678,Parbhani,3500,5501,5000
4679,Parbhani,3501,4476,4251
4680,Parbhani,3500,4601,4200
4681,Parbhani,4000,4701,4300
4682,Parbhani,3550,4701,4300
4683,Parbhani,3900,4901,4400
4684,Parbhani,3651,5000,4100
4685,Parbhani,4100,4600,4300
4686,Parbhani,4000,4751,4300
4687,Parbhani,3100,4700,4360
4688,Parbhani,3700,4900,3700
4689,Parbhani,3200,4800,4300
4690,Parbhani,3600,4201,3800
4691,Parbhani,3300,4500,4050
4692,Parbhani,4000,4401,4100
4693,Parbhani,3500,4600,3900
4694,Parbhani,3800,4650,4600
4695,Parbhani,3250,4500,3900
4696,Parbhani,3800,4500,4200
4697,Parbhani,3700,4617,4100
4698,Parbhani,3900,4500,4050
4699,Parbhani,3700,4701,4200
4700,Parbhani,3200,4600,4100
4701,Parbhani,3400,4500,3950
4702,Parbhani,3601,4601,4300
4703,Parbhani,3300,4650,4500
4704,Parbhani,3700,4700,4200
4705,Parbhani,3201,4900,4200
4706,Parbhani,3500,5000,4101
4707,Parbhani,3400,5100,4500
4708,Parbhani,4300,5151,4971
4709,Parbhani,3650,5271,5100
4710,Akola,4500,5000,4800
4711,Akola,4300,5000,4550
4712,Akola,4100,5000,4400
4713,Akola,4100,5000,4560
4714,Akola,4100,4900,4515
4715,Akola,4000,5000,4190
4716,Akola,4000,4800,4464
4717,Akola,3900,4900,4467
4718,Akola,3800,4700,4301
4719,Akola,3900,4800,4020
4720,Akola,3500,4500,3888
4721,Akola,3700,4500,3888
4722,Akola,4500,4850,4700
4723,Akola,4500,4800,4700
4724,Bhandara,3700,3700,3700
4725,Bhandara,4150,4150,4150
4726,Bhandara,4150,4150,4150
4727,Bhandara,4150,4150,4150
4728,Bhandara,4150,4150,4150
4729,Bhandara,4150,4150,4150
4730,Bhandara,4151,4151,4151
4731,Bhandara,5580,5580,5580
4732,Pune,6000,6400,6250
4733,Pune,5900,6200,6050
4734,Pune,5600,6300,6000
4735,Pune,7000,7200,7150
4736,Pune,7000,7200,7150
4737,Pune,7000,7300,7250
4738,Pune,5600,6200,5950
4739,Pune,5800,6200,6000
4740,Pune,5800,6100,6000
4741,Pune,5800,6100,6000
4742,Pune,5800,6000,5950
4743,Pune,5800,6000,5950
